,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
261.6857989,-56.38481649,5.92238E+18,3.75317E+17,0.442578284,0.32754629,1707.06049,15.852511,16.065626,15.423716,,0.52351785,,,,,,3.053058687,2.259511937,RRd,0.740086673
237.3808447,-33.48726126,6.01521E+18,3.75317E+17,0.525302522,0.391284529,1707.142157,15.858671,16.151712,15.40023,,0.25535685,,0.30352756,,4.8554635,,2.555719619,1.903749687,RRd,0.744874643
256.3184657,-25.43380806,4.11225E+18,3.75317E+17,0.441467665,0.441480266,1711.479175,15.871261,16.177164,15.388207,,0.71952784,,,,,,2.265106906,1.667514142,RRd,1.000028545
219.628169,-68.42574768,5.84799E+18,3.75317E+17,0.411200253,0.303725558,1701.653419,15.894144,16.195154,15.460412,,0.38873684,,,,,,3.292627149,2.432076178,RRd,0.738631739
200.9125149,-14.70318476,3.60808E+18,3.75317E+17,0.525796194,0.381327908,1698.733048,15.901456,16.15676,15.569114,,1.2057018,,0.5563828,0.45724437,4.124759,2.7384906,1.901879178,2.622367646,RRd,0.725239003
237.0372191,-31.32359303,6.01645E+18,3.75317E+17,0.478992595,0.356526937,1707.249129,15.903682,16.104097,15.536078,,0.41687775,,,,,,2.804883963,2.087786646,RRd,0.744326615
149.8873567,-30.52824699,5.46371E+18,3.75317E+17,0.519862665,0.387198679,1767.515274,15.951284,16.147068,15.578369,,0.6029962,,,,,,2.582826686,1.923668322,RRd,0.744809552
316.5755595,40.47000405,1.96921E+18,3.75317E+17,0.476001221,0.356886297,1767.346048,15.970278,16.714392,15.106808,,0.51166385,,0.3942467,,4.443302,,2.802017555,2.100782344,RRd,0.749759205
265.1854827,-41.77617928,5.95748E+18,3.75317E+17,0.446917038,0.332976502,1710.079171,15.973229,16.354872,15.295177,,1.0321475,,0.4317541,0.29577276,3.8175082,1.8556452,2.237556127,3.003137426,RRd,0.745052154
131.8489563,16.09836887,6.10168E+17,3.75317E+17,0.57153205,0.428018479,1723.648612,15.982798,16.1916,15.602428,,0.6431578,,0.431978,0.35362655,4.131567,2.2402894,1.749655354,2.335881071,RRd,0.748896722
257.7399919,14.70940692,4.54494E+18,3.75317E+17,0.451960902,0.451951905,1718.099176,15.98617,16.176622,15.629836,,0.81667334,,0.41167793,,5.033924,,2.212580769,2.981822326,RRd,0.999980092
230.600726,-16.12781843,4.68737E+18,3.75317E+17,0.478431141,0.356226198,1700.265425,15.993815,16.168509,15.685745,,0.57433254,,0.21263029,,4.4734426,,2.807272362,2.090279946,RRd,0.744571511
